procWeight, totalSymbols, maximumResourceConsumption, reproductionLength, localCELength, stackHeight, numReturns
0.01, 100000000, 90123016, 90123016, 90123015, 1, 396887
5.0, 1000000000, 1083, 703, 1, 287, 399994339
0.01, 1, 1, 1, 0, 1, 0
0.01, 10, 10, 10, 9, 1, 0
0.01, 100, 100, 100, 76, 2, 0
0.01, 1000, 871, 871, 870, 1, 3
0.01, 10000, 8835, 8835, 8834, 1, 40
0.01, 100000, 88430, 88430, 88429, 1, 422
0.01, 1000000, 890307, 890307, 890306, 1, 4050
0.01, 10000000, 8919889, 8919889, 8919888, 1, 39733
0.01, 1000000000, 892805344, 892805344, 892805343, 1, 3967383
0.1, 1, 1, 1, 0, 1, 0
0.1, 10, 10, 10, 9, 1, 0
0.1, 100, 83, 83, 82, 1, 3
0.1, 1000, 374, 342, 9, 3, 40
0.1, 10000, 2393, 2393, 2392, 1, 378
0.1, 100000, 25958, 25958, 31, 3, 3730
0.1, 1000000, 271707, 271699, 179, 2, 36873
0.1, 10000000, 2698513, 2698513, 2698512, 1, 369187
0.01, 1000000000, 892921345, 892921345, 892921344, 1, 3965888
0.1, 1, 1, 1, 0, 1, 0
0.1, 10, 10, 10, 3, 2, 0
0.1, 100, 52, 25, 24, 1, 3
0.1, 1000, 378, 378, 36, 2, 28
0.1, 10000, 2867, 2822, 11, 3, 365
0.1, 100000, 26149, 26125, 2, 3, 3787
0.1, 1000000, 263841, 263736, 263735, 1, 37485
0.1, 10000000, 2688126, 2688105, 1, 3, 370408
1.0, 1000000000, 588, 187, 3, 24, 222226658
2.0, 1, 1, 1, 0, 1, 0
2.0, 10, 10, 10, 1, 5, 0
2.0, 100, 57, 53, 1, 22, 16
2.0, 1000, 175, 140, 4, 46, 267
2.0, 10000, 303, 249, 4, 80, 3038
2.0, 100000, 385, 224, 2, 72, 30728
2.0, 1000000, 385, 242, 0, 69, 307697
2.0, 10000000, 426, 220, 9, 51, 3076215
2.0, 1000000000, 550, 165, 3, 44, 307670434
5.0, 1, 1, 1, 0, 1, 0
5.0, 10, 10, 10, 1, 7, 0
5.0, 100, 72, 72, 0, 42, 18
5.0, 1000, 394, 394, 1, 185, 294
5.0, 10000, 613, 532, 0, 231, 3876
5.0, 100000, 685, 599, 0, 266, 39869
5.0, 1000000, 748, 340, 0, 158, 399609
5.0, 10000000, 833, 452, 1, 184, 3999952
1.0, 1000000000, 515, 223, 0, 23, 222236580
2.0, 1, 1, 1, 0, 1, 0
2.0, 10, 10, 10, 9, 1, 0
2.0, 100, 82, 82, 1, 26, 10
2.0, 1000, 236, 235, 0, 69, 242
2.0, 10000, 380, 208, 4, 61, 2995
2.0, 100000, 406, 239, 4, 69, 30777
2.0, 1000000, 479, 209, 3, 57, 307783
0.01, 100000000, 89167238, 89167238, 89167237, 1, 396569
2.0, 10000000, 479, 270, 0, 85, 3077202
0.1, 100000000, 26731976, 26731972, 15, 2, 3704856
0.01, 1000000000, 901155934, 901155934, 901155933, 1, 3970827
0.1, 1, 1, 1, 0, 1, 0
0.1, 10, 10, 10, 2, 2, 0
0.1, 100, 68, 37, 29, 2, 4
0.1, 1000, 480, 480, 19, 2, 34
0.1, 10000, 2957, 2928, 9, 6, 360
0.1, 100000, 29695, 29687, 29686, 1, 3748
0.1, 1000000, 308511, 308511, 84, 2, 36808
0.1, 100000000, 26931620, 26931571, 15, 2, 3700389
0.5, 1000000000, 82500, 82176, 0, 14, 142862971
1.0, 1, 1, 1, 0, 1, 0
1.0, 10, 10, 10, 9, 1, 0
1.0, 100, 66, 61, 4, 18, 11
1.0, 1000, 135, 106, 0, 31, 191
1.0, 10000, 229, 84, 2, 27, 2182
1.0, 100000, 270, 202, 1, 33, 22130
0.1, 10000000, 3039643, 3039620, 3039619, 1, 370469
